"Antecedent","Consequent","Support","Confidence","Lift","Conviction","Leverage","Coverage"
"light cream","chicken","0.004532728969470737","0.29059829059829057","4.8439506172839497","1.3250715165688751","0.00359697851955961","0.015597920277296361"
"pasta","escalope","0.0058658845487268366","0.3728813559322034","4.7008118501637943","1.4681069551086883","0.0046180395517988176","0.015731235835221971"
"pasta","shrimp","0.0050659912011731768","0.32203389830508472","4.5066721477358964","1.369600719904013","0.0039418820946968431","0.015731235835221971"
"whole wheat pasta","olive oil","0.0079989334755365959","0.27149321266968329","4.1224100976422964","1.2822696104287545","0.0060585798265603875","0.029462738301559793"
"tomato sauce","ground beef","0.0053326223170243967","0.37735849056603771","3.8406594813240829","1.4482594239959923","0.0039441570435589258","0.014131449140114652"
"mushroom cream sauce","escalope","0.0057325689908012262","0.30069930069930068","3.7908326967150501","1.3165684575389947","0.0042203500538460842","0.019064124783362217"
"herb & pepper","ground beef","0.015997866951073192","0.32345013477088952","3.2919938411349281","1.3328602667054752","0.011138238493944044","0.049460071990401283"
"almonds","burgers","0.0051993067590987872","0.25490196078431376","2.9235773820231454","1.2250892863407685","0.0034209010322420507","0.020397280362618318"
"parmesan cheese","frozen vegetables","0.0054659378749500062","0.27516778523489926","2.8867602196461255","1.2481224725592142","0.003572487273216257","0.019864018130915879"
"whole wheat pasta","milk","0.0098653512864951345","0.33484162895927605","2.5839990317114503","1.3085865195298223","0.0060474894508577371","0.029462738301559793"
"tomato sauce","spaghetti","0.006265831222503666","0.4433962264150943","2.5466424918373831","1.4838021597120383","0.0038054029360099005","0.014131449140114652"
"pepper","ground beef","0.0065324623383548859","0.24623115577889446","2.5060785610549354","1.1963169355197083","0.0039258152683583885","0.026529796027196375"
"tomatoes","frozen vegetables","0.016131182508998799","0.23586744639376217","2.4744639376218318","1.1839298977823367","0.0096121210412846159","0.06839088121583789"
"shrimp","frozen vegetables","0.01666444474070124","0.23320895522388058","2.4465739484396201","1.1798251717289276","0.0098531056633234578","0.071457139048126922"
"ham","burgers","0.0055992534328756166","0.21105527638190955","2.4206813885943474","1.1570032700523158","0.0032861636312776386","0.026529796027196375"
"fresh tuna","pancakes","0.0050659912011731768","0.22754491017964071","2.3938490480469636","1.1715192496297653","0.0029497377952592591","0.022263698173576856"
"rice","ground beef","0.0043994134115451274","0.23404255319148934","2.3820260400127022","1.1772800663615222","0.0025524926232561515","0.018797493667511"
"soup","milk","0.015197973603519531","0.30079155672823221","2.3212319619531585","1.2448609367807564","0.008650599686295217","0.050526596453806159"
"black tea","milk","0.004266097853619517","0.29906542056074764","2.3079112341833006","1.241795316180065","0.002417630811025845","0.014264764698040262"
"ground beef","spaghetti","0.039194774030129317","0.39891451831750341","2.2911621760333789","1.3739973872558149","0.022087833962715117","0.098253566191174507"
"spaghetti","ground beef","0.039194774030129317","0.22511485451761104","2.2911621760333789","1.1637162475833263","0.022087833962715117","0.17411011865084655"
"cider","eggs","0.004266097853619517","0.4050632911392405","2.2539909101153137","1.3787863745826796","0.0023734114925191233","0.010531929076123183"
"grated cheese","ground beef","0.011331822423676844","0.21628498727735371","2.2012940156952916","1.1506050275547675","0.0061840219286586348","0.052393014264764698"
"tomato sauce","chocolate","0.0050659912011731768","0.35849056603773582","2.1879883936932925","1.3034183677470452","0.0027506264507131169","0.014131449140114652"
"olive oil","ground beef","0.014131449140114652","0.2145748987854251","2.1838891666071558","1.1480998409834016","0.0076606770166057587","0.065857885615251299"
"body spray","french fries","0.004266097853619517","0.37209302325581395","2.1771215034647895","1.3204017242145492","0.002306584869695461","0.011465137981602452"
"salmon","ground beef","0.0089321423810158652","0.21003134796238246","2.1376460530065544","1.1414964777183148","0.0047536478316244947","0.042527662978269563"
"pepper","spaghetti","0.0098653512864951345","0.37185929648241206","2.1357707373005916","1.3148166911078523","0.0052462453524172161","0.026529796027196375"
"cereals","milk","0.0070657245700573258","0.2746113989637306","2.1191976374762791","1.1999323899670522","0.0037315737362201419","0.025729902679642713"
"light mayo","pancakes","0.0054659378749500062","0.20098039215686272","2.1143813766740918","1.1325704629975717","0.0028808139539533641","0.027196373816824423"
"red wine","spaghetti","0.010265297960271964","0.36492890995260663","2.0959661206389759","1.3004683952587415","0.0053676529748928649","0.028129582722303693"
"nonfat milk","mineral water","0.0050659912011731768","0.48717948717948711","2.0438105891126024","1.4851819757365683","0.0025872922316308141","0.010398613518197574"
