"Items","Size","Frequency","Support","Score"
"mashed potato",1,31,0.0041327822956939075,1.0
"chutney",1,31,0.0041327822956939075,1.0
"chocolate bread",1,32,0.004266097853619517,1.0
"oatmeal",1,33,0.004399413411545127,1.0
"ketchup",1,33,0.004399413411545127,1.0
"dessert wine",1,33,0.004399413411545127,1.0
"sandwich",1,34,0.004532728969470737,1.0
"babies food",1,34,0.004532728969470737,1.0
"corn",1,36,0.004799360085321957,1.0
"cauliflower",1,36,0.004799360085321957,1.0
"asparagus",1,36,0.004799360085321957,1.0
"shampoo",1,37,0.004932675643247567,1.0
"salad",1,37,0.004932675643247567,1.0
"hand protein bar",1,39,0.005199306759098787,1.0
"mint green tea",1,42,0.005599253432875617,1.0
"burger sauce",1,44,0.005865884548726837,1.0
"pickles",1,45,0.005999200106652446,1.0
"mayonnaise",1,46,0.0061325156645780565,1.0
"chili",1,46,0.0061325156645780565,1.0
"sparkling water",1,47,0.006265831222503666,1.0
"soda",1,47,0.006265831222503666,1.0
"pet food",1,49,0.006532462338354886,1.0
"gluten free bar",1,52,0.006932409012131715,1.0
"spinach",1,53,0.007065724570057326,1.0
"strong cheese",1,58,0.007732302359685375,1.0
"shallot",1,58,0.007732302359685375,1.0
"toothpaste",1,61,0.008132249033462205,1.0
"clothes accessories",1,63,0.008398880149313425,1.0
"green beans",1,65,0.008665511265164644,1.0
"bug spray",1,65,0.008665511265164644,1.0
"bacon",1,65,0.008665511265164644,1.0
"antioxydant juice",1,67,0.008932142381015865,1.0
"green grapes",1,68,0.009065457938941474,1.0
"flax seed",1,68,0.009065457938941474,1.0
"salt",1,69,0.009198773496867084,1.0
"blueberries",1,69,0.009198773496867084,1.0
"whole weat flour",1,70,0.009332089054792695,1.0
"zucchini",1,71,0.009465404612718305,1.0
"candy bars",1,73,0.009732035728569524,1.0
"nonfat milk",1,78,0.010398613518197574,1.0
"cider",1,79,0.010531929076123183,1.0
"barbecue sauce",1,81,0.010798560191974404,1.0
"magazines",1,82,0.010931875749900012,1.0
"yams",1,86,0.011465137981602452,1.0
"body spray",1,86,0.011465137981602452,1.0
"melons",1,90,0.011998400213304892,1.0
"extra dark chocolate",1,90,0.011998400213304892,1.0
"eggplant",1,99,0.013198240234635382,1.0
"gums",1,101,0.013464871350486601,1.0
"fromage blanc",1,102,0.013598186908412212,1.0
"tomato sauce",1,106,0.014131449140114652,1.0
"black tea",1,107,0.014264764698040262,1.0
"carrots",1,115,0.01533128916144514,1.0
"light cream",1,117,0.01559792027729636,1.0
"pasta",1,118,0.01573123583522197,1.0
"white wine",1,124,0.01653112918277563,1.0
"mint",1,131,0.0174643380882549,1.0
"protein bar",1,139,0.01853086255165978,1.0
"rice",1,141,0.018797493667511,1.0
"mushroom cream sauce",1,143,0.019064124783362217,1.0
"parmesan cheese",1,149,0.01986401813091588,1.0
"almonds",1,153,0.020397280362618318,1.0
"meatballs",1,157,0.020930542594320756,1.0
"strawberries",1,160,0.021330489268097587,1.0
"fresh tuna",1,167,0.022263698173576856,1.0
"french wine",1,169,0.022530329289428077,1.0
"oil",1,173,0.023063591521130515,1.0
"muffins",1,181,0.024130115984535395,1.0
"vegetables mix",1,193,0.025729902679642713,1.0
"cereals",1,193,0.025729902679642713,1.0
"pepper",1,199,0.026529796027196375,1.0
"ham",1,199,0.026529796027196375,1.0
"energy drink",1,200,0.026663111585121985,1.0
"energy bar",1,203,0.027063058258898813,1.0
"light mayo",1,204,0.027196373816824423,1.0
"yogurt cake",1,205,0.027329689374750034,1.0
"red wine",1,211,0.028129582722303693,1.0
"whole wheat pasta",1,221,0.029462738301559793,1.0
"butter",1,226,0.030129316091187842,1.0
"tomato juice",1,228,0.030395947207039063,1.0
"cottage cheese",1,239,0.03186241834422077,1.0
"hot dogs",1,243,0.03239568057592321,1.0
"avocado",1,250,0.03332888948140248,1.0
"brownies",1,253,0.03372883615517931,1.0
"salmon",1,319,0.04252766297826956,1.0
"fresh bread",1,323,0.043060925209972005,1.0
"champagne",1,351,0.04679376083188908,1.0
"honey",1,356,0.047460338621517134,1.0
"herb & pepper",1,371,0.04946007199040128,1.0
"soup",1,379,0.05052659645380616,1.0
"cooking oil",1,383,0.0510598586855086,1.0
"grated cheese",1,393,0.0523930142647647,1.0
"whole wheat rice",1,439,0.058525529929342755,1.0
"chicken",1,450,0.05999200106652446,1.0
"turkey",1,469,0.06252499666711105,1.0
"frozen smoothie",1,475,0.06332489001466471,1.0
"olive oil",1,494,0.0658578856152513,1.0
"tomatoes",1,513,0.06839088121583789,1.0
"shrimp",1,536,0.07145713904812692,1.0
"low fat yogurt",1,574,0.07652313024930009,1.0
"escalope",1,595,0.0793227569657379,1.0
"cookies",1,603,0.08038928142914278,1.0
"cake",1,608,0.08105585921877083,1.0
"burgers",1,654,0.0871883748833489,1.0
"pancakes",1,713,0.09505399280095987,1.0
"frozen vegetables",1,715,0.09532062391681109,1.0
"ground beef",1,737,0.09825356619117451,1.0
"milk",1,972,0.12958272230369283,1.0
"green tea",1,991,0.13211571790427942,1.0
"chocolate",1,1229,0.1638448206905746,1.0
"french fries",1,1282,0.1709105452606319,1.0
"spaghetti",1,1306,0.17411011865084655,1.0
"eggs",1,1348,0.17970937208372217,1.0
"mineral water",1,1788,0.23836821757099053,1.0
"mineral water, nonfat milk",2,38,0.005065991201173177,2.0438105891126024
"eggs, cider",2,32,0.004266097853619517,2.2539909101153137
"mineral water, body spray",2,31,0.0041327822956939075,1.5122197076114667
"french fries, body spray",2,32,0.004266097853619517,2.1771215034647895
"spaghetti, extra dark chocolate",2,31,0.0041327822956939075,1.9783137655266292
"mineral water, extra dark chocolate",2,43,0.005732568990801226,2.004368630375342
"mineral water, gums",2,37,0.004932675643247567,1.5368518395463708
"mineral water, fromage blanc",2,34,0.004532728969470737,1.3983967188665174
"chocolate, tomato sauce",2,38,0.005065991201173177,2.1879883936932925
"ground beef, tomato sauce",2,40,0.005332622317024397,3.840659481324083
"mineral water, tomato sauce",2,43,0.005732568990801226,1.7018224220167997
"spaghetti, tomato sauce",2,47,0.006265831222503666,2.546642491837383
"milk, black tea",2,32,0.004266097853619517,2.3079112341833006
"spaghetti, black tea",2,34,0.004532728969470737,1.825034706816848
"eggs, black tea",2,37,0.004932675643247567,1.924186749493885
"mineral water, black tea",2,40,0.005332622317024397,1.5682953856446924
"spaghetti, carrots",2,35,0.004666044527396347,1.7480191757107666
